City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
70,Siuri,23.92,87.53,84.9,76,67,8.46,IN,2020-06-19 18:15:58
71,Kismayo,-0.36,42.55,78.62,77,34,17.36,SO,2020-06-19 18:15:58
72,Cabo San Lucas,22.89,-109.91,91.0,48,5,4.7,MX,2020-06-19 18:15:58
73,Cidreira,-30.18,-50.21,63.99,84,90,9.08,BR,2020-06-19 18:13:37
74,Brae,60.4,-1.35,57.2,87,96,24.16,GB,2020-06-19 18:15:58
75,Bandarbeyla,9.49,50.81,82.45,66,52,30.98,SO,2020-06-19 18:15:58
76,Mettur,11.8,77.8,83.44,58,97,2.91,IN,2020-06-19 18:15:58
77,Muisne,0.6,-80.03,82.4,83,75,5.82,EC,2020-06-19 18:15:58
78,Tiksi,71.69,128.87,59.34,59,0,7.18,RU,2020-06-19 18:15:31
79,Dikson,73.51,80.55,34.59,88,0,6.42,RU,2020-06-19 18:13:52
80,Bluff,-46.6,168.33,39.0,83,100,3.0,NZ,2020-06-19 18:15:08
81,Rio Branco,-9.97,-67.81,84.2,70,40,5.82,BR,2020-06-19 18:15:52
82,Arraial Do Cabo,-22.97,-42.03,84.2,45,81,5.82,BR,2020-06-19 18:15:59
83,Roald,62.58,6.13,71.01,72,96,23.04,NO,2020-06-19 18:14:07
84,Sao Filipe,14.9,-24.5,77.41,74,0,11.01,CV,2020-06-19 18:15:59
85,Lezajsk,50.26,22.42,66.99,100,20,4.7,PL,2020-06-19 18:15:59
86,Pirgos,35.12,25.72,79.0,41,0,8.01,GR,2020-06-19 18:15:59
87,Thompson,55.74,-97.86,41.0,100,90,5.82,CA,2020-06-19 18:11:15
88,Rawson,-43.3,-65.1,57.72,37,20,28.01,AR,2020-06-19 18:14:21
89,Buala,-8.14,159.59,80.15,80,35,3.33,SB,2020-06-19 18:15:59
90,Puerto Ayora,-0.74,-90.35,78.8,65,40,16.11,EC,2020-06-19 18:13:48
91,Sergeyevka,53.88,67.42,45.72,64,44,1.45,KZ,2020-06-19 18:15:59
92,Muros,42.78,-9.06,64.0,77,1,8.01,ES,2020-06-19 18:15:59
93,Odesskoye,54.21,72.97,44.11,76,65,8.14,RU,2020-06-19 18:15:59
94,Saskylakh,71.92,114.08,68.13,50,30,6.8,RU,2020-06-19 18:15:59
95,Port Blair,11.67,92.75,83.3,81,100,12.17,IN,2020-06-19 18:15:59
96,Khatanga,71.97,102.5,53.74,68,61,11.1,RU,2020-06-19 18:13:41
97,Ahipara,-35.17,173.17,56.32,86,100,10.96,NZ,2020-06-19 18:16:00
98,Tuatapere,-46.13,167.68,39.0,83,98,3.0,NZ,2020-06-19 18:16:00
99,Longyearbyen,78.22,15.64,39.2,86,40,13.87,SJ,2020-06-19 18:16:00
100,Puerto Del Rosario,28.5,-13.86,75.2,73,20,23.04,ES,2020-06-19 18:16:00
101,Krasnoselkup,65.7,82.47,50.97,47,87,15.97,RU,2020-06-19 18:14:40
102,Sokolo,14.73,-6.12,101.64,24,22,10.47,ML,2020-06-19 18:16:00
103,Sitka,57.05,-135.33,53.6,93,75,3.36,US,2020-06-19 18:16:00
104,Panguna,-6.32,155.48,67.87,100,29,1.1,PG,2020-06-19 18:14:51
105,Uige,-7.61,15.06,68.79,44,46,0.45,AO,2020-06-19 18:16:00
106,Nouadhibou,20.93,-17.03,73.4,69,0,19.46,MR,2020-06-19 18:16:00
107,Geraldton,-28.77,114.6,53.6,66,0,17.22,AU,2020-06-19 18:13:33
108,New Norfolk,-42.78,147.06,48.0,80,100,0.58,AU,2020-06-19 18:15:33
109,Butaritari,3.07,172.79,81.9,71,79,3.85,KI,2020-06-19 18:16:01
110,Karangasem,-8.45,115.62,80.6,100,40,9.17,ID,2020-06-19 18:16:01
111,Yellowknife,62.46,-114.35,64.4,52,20,16.11,CA,2020-06-19 18:14:47
112,Srednekolymsk,67.45,153.68,74.79,37,0,6.13,RU,2020-06-19 18:12:05
113,Ojinaga,29.57,-104.42,95.0,23,1,1.95,MX,2020-06-19 18:16:01
114,Colac,-38.33,143.58,51.01,99,70,1.99,AU,2020-06-19 18:16:01
115,Banda Aceh,5.56,95.32,81.12,76,87,7.18,ID,2020-06-19 18:15:52
116,Margineni,46.9,26.63,69.01,53,24,0.76,RO,2020-06-19 18:16:01
117,Alice,27.75,-98.07,87.8,66,40,11.41,US,2020-06-19 18:16:01
118,Avarua,-21.21,-159.78,71.6,60,32,5.82,CK,2020-06-19 18:16:01
119,Ostrovnoy,68.05,39.51,42.64,77,100,23.47,RU,2020-06-19 18:16:01
120,Gondanglegi,-7.75,112.01,73.81,86,89,8.79,ID,2020-06-19 18:16:02
121,Port Moresby,-9.44,147.18,77.0,94,40,11.41,PG,2020-06-19 18:16:02
122,Lebu,-37.62,-73.65,54.03,83,15,11.88,CL,2020-06-19 18:13:29
123,Touros,-5.2,-35.46,75.2,100,75,4.7,BR,2020-06-19 18:16:02
124,Santa Rosa,14.31,121.11,78.8,94,40,1.12,PH,2020-06-19 18:11:53
125,Dunedin,-45.87,170.5,46.0,72,98,20.0,NZ,2020-06-19 18:14:11
126,Rundu,-17.93,19.77,64.4,34,0,4.7,NA,2020-06-19 18:16:02
127,Coihaique,-45.58,-72.07,42.8,81,75,8.05,CL,2020-06-19 18:16:02
128,Phetchaburi,12.97,99.58,75.58,86,100,2.86,TH,2020-06-19 18:16:02
129,Coolum Beach,-26.53,153.1,59.0,96,76,1.01,AU,2020-06-19 18:15:53
130,Kavieng,-2.57,150.8,81.9,75,4,2.84,PG,2020-06-19 18:16:03
131,Laguna,38.42,-121.42,84.99,30,1,6.93,US,2020-06-19 18:14:09
132,Buin,-33.73,-70.75,55.4,62,75,4.7,CL,2020-06-19 18:16:03
133,Nara,34.69,135.8,66.99,93,80,7.4,JP,2020-06-19 18:15:01
134,Lavrentiya,65.58,-171.0,51.42,49,5,9.62,RU,2020-06-19 18:16:03
135,Tuy Hoa,13.08,109.3,78.73,85,100,4.81,VN,2020-06-19 18:16:03
136,Kannur,11.87,75.36,80.98,81,100,1.16,IN,2020-06-19 18:16:03
137,Pangnirtung,66.15,-65.71,37.4,93,75,14.99,CA,2020-06-19 18:16:03
138,Broome,42.25,-75.83,80.01,60,75,3.36,US,2020-06-19 18:15:28
139,Torbay,47.67,-52.73,55.0,81,75,14.99,CA,2020-06-19 18:13:38
